logFC,logCPM,LR,PValue,FDR,Sig,Dir,Sig_Dir,Treat,sample
0.29909624247256433,2.571065986516235,0.011642128645286576,0.9140760513533793,1,FALSE,Up,FALSE_Up,Origin,NW_026262581.1-97825
0.5619017559114252,2.571065986516235,1.0255179056859557e-8,0.9999191999397621,1,FALSE,Up,FALSE_Up,Origin,NW_026262581.1-97832
0.5619017559114252,2.571065986516235,1.0255179056859557e-8,0.9999191999397621,1,FALSE,Up,FALSE_Up,Origin,NW_026262581.1-97836
0.5174075088931684,2.580820648317032,9.400292507465716e-9,0.9999226410182491,1,FALSE,Up,FALSE_Up,Origin,NW_026262581.1-97843
0.5174075088931684,2.580820648317032,9.400292507465716e-9,0.9999226410182491,1,FALSE,Up,FALSE_Up,Origin,NW_026262581.1-97856
0.5174075088931684,2.580820648317032,9.400292507465716e-9,0.9999226410182491,1,FALSE,Up,FALSE_Up,Origin,NW_026262581.1-97859
0.5174075088931684,2.580820648317032,9.400292507465716e-9,0.9999226410182491,1,FALSE,Up,FALSE_Up,Origin,NW_026262581.1-97865
0.5472575028954891,2.573183454525702,1.0076214168799716e-8,0.999919908070638,1,FALSE,Up,FALSE_Up,Origin,NW_026262581.1-97888
0.7508024796981564,2.580820648317032,0.16939687434050477,0.6806483816424981,1,FALSE,Up,FALSE_Up,Origin,NW_026262581.1-97901
-0.3090157299436051,2.7333577292663427,0.09229957783865217,0.7612738242351773,1,FALSE,Down,FALSE_Down,Origin,NW_026262581.1-337711
-0.3465642184911085,2.7479349081674704,-3.266350428707406e-9,1,1,FALSE,Down,FALSE_Down,Origin,NW_026262581.1-337718
-1.6053824861653638,2.7479349081674704,1.8076083749091214,0.1787953943028458,1,FALSE,Down,FALSE_Down,Origin,NW_026262581.1-337722
-0.3465642184911085,2.7479349081674704,-3.266350428707406e-9,1,1,FALSE,Down,FALSE_Down,Origin,NW_026262581.1-337729
-0.6816362044985192,2.7479349081674704,1.6923550827819132,0.193290808172923,1,FALSE,Down,FALSE_Down,Origin,NW_026262581.1-337742
-0.6816362044985192,2.7479349081674704,1.6923550827819132,0.193290808172923,1,FALSE,Down,FALSE_Down,Origin,NW_026262581.1-337745
-0.3465642184911085,2.7479349081674704,-3.266350428707406e-9,1,1,FALSE,Down,FALSE_Down,Origin,NW_026262581.1-337751
0.4210432697248477,2.7479349081674704,0.7805955472525947,0.37695906214837976,1,FALSE,Up,FALSE_Up,Origin,NW_026262581.1-337774
-0.9460315026743386,2.7479349081674704,0.6282875357229631,0.4279841536090655,1,FALSE,Down,FALSE_Down,Origin,NW_026262581.1-337787
-0.1351709081421698,3.263109456109068,0.06371764485904219,0.8007137048261169,1,FALSE,Down,FALSE_Down,Origin,NW_026262581.1-371552
0.4612981649624391,3.2785967126595335,2.02925588919061e-8,0.9998863397864901,1,FALSE,Up,FALSE_Up,Origin,NW_026262581.1-371582
1.1899785157502323,3.316716474006422,6.77851626102321e-8,0.9997922660985401,1,FALSE,Up,FALSE_Up,Origin,NW_026262581.1-371587
0.46513606638831917,3.316716474006422,2.114859224773276e-8,0.9998839671947778,1,FALSE,Up,FALSE_Up,Origin,NW_026262581.1-371612
0.2875219101402051,3.273536564569302,1.3573675680305866e-8,0.9999070415669092,1,FALSE,Up,FALSE_Up,Origin,NW_026262581.1-371628
-1.3124675054693775,3.3076803812434847,1.910174438324324,0.16694388305751515,1,FALSE,Down,FALSE_Down,Origin,NW_026262581.1-371662
-1.5032786641176905,2.5346015718122,2.9874907673710833,0.08391009830516157,0.9514274418605397,FALSE,Down,FALSE_Down,Origin,NW_026262581.1-377987
-0.7246036013406768,2.5390153404704003,0.7257750770228135,0.39425608787087785,1,FALSE,Down,FALSE_Down,Origin,NW_026262581.1-378005
-1.3826018783080063,2.5330393118108625,2.321806221939358,0.127571816984901,1,FALSE,Down,FALSE_Down,Origin,NW_026262581.1-378074
-1.0314289267625043,2.538954659160676,1.4213380440651555,0.2331832931119627,1,FALSE,Down,FALSE_Down,Origin,NW_026262581.1-378083
1.144967890101709,2.6129288119882013,1.4221264059324614,0.23305372397900354,1,FALSE,Up,FALSE_Up,Origin,NW_026262581.1-441116
-0.10704212019865977,2.6215930071102,-3.395249551392576e-9,1,1,FALSE,Down,FALSE_Down,Origin,NW_026262581.1-441183
1.516149689764301,2.6147405261729975,2.8548022079155597,0.09110144401062965,0.9623748076572901,FALSE,Up,FALSE_Up,Origin,NW_026262581.1-441224
-0.5062122482793553,2.9567752949381965,0.083138866084008,0.7730879371803432,1,FALSE,Down,FALSE_Down,Origin,NW_026262581.1-1283022
-0.2898090590935667,2.915066585332346,-2.5371707481032307e-9,1,1,FALSE,Down,FALSE_Down,Origin,NW_026262581.1-1283047
-0.2898090590935667,2.915066585332346,-2.5371707481032307e-9,1,1,FALSE,Down,FALSE_Down,Origin,NW_026262581.1-1283050
0.42947557776498485,2.915066585332346,1.9114184532552273e-8,0.9998896892220652,1,FALSE,Up,FALSE_Up,Origin,NW_026262581.1-1283057
-2.1160692951220685,2.900679792753148,3.6663261965185354,0.05552244020876178,0.8740920167863199,FALSE,Down,FALSE_Down,Origin,NW_026262581.1-1283089
0.8396632776571634,3.0644164158145766,0.2817966402224279,0.5955260459296621,1,FALSE,Up,FALSE_Up,Origin,NW_026262581.1-1357967
0.9528193814458862,3.0632328325728975,-2.503374730532941e-7,1,1,FALSE,Up,FALSE_Up,Origin,NW_026262581.1-1357974
-0.1645983748227096,3.0632328325728975,1.1865168360092015e-7,0.999725161857055,1,FALSE,Down,FALSE_Down,Origin,NW_026262581.1-1357988
0.2718494345078094,3.0632328325728975,2.0922432131632953,0.14804854499128323,1,FALSE,Up,FALSE_Up,Origin,NW_026262581.1-1357999
0.8926392821195784,3.0685531813980718,4.7769521667641765e-8,0.9998256124387292,1,FALSE,Up,FALSE_Up,Origin,NW_026262581.1-1358006
0.19472689251335407,3.0685531813980718,0.1736271753751204,0.6769081373309467,1,FALSE,Up,FALSE_Up,Origin,NW_026262581.1-1358037
-0.15855092754771818,3.099371550549121,0.3159275405849318,0.5740653843417235,1,FALSE,Down,FALSE_Down,Origin,NW_026262581.1-1358074
1.4376297784533223,3.6146714978779224,2.1393005278060357,0.14356733842437264,1,FALSE,Up,FALSE_Up,Origin,NW_026262581.1-1394801
1.1247940364401998,3.250149528427126,0.37475835193621165,0.5404219146517267,1,FALSE,Up,FALSE_Up,Origin,NW_026262581.1-1394808
1.8231643345162358,3.2476928530700415,1.1028343372925129e-7,0.9997350309227556,1,FALSE,Up,FALSE_Up,Origin,NW_026262581.1-1394818
1.8263193242965106,3.250149528427126,1.1083247014670897e-7,0.9997343721789628,1,FALSE,Up,FALSE_Up,Origin,NW_026262581.1-1394827
0.9172072022903324,3.250149528427126,4.648806666017834e-8,0.9998279673811267,1,FALSE,Up,FALSE_Up,Origin,NW_026262581.1-1394835
0.7769002341612549,3.250149528427126,0.9298943969708305,0.3348903674625056,1,FALSE,Up,FALSE_Up,Origin,NW_026262581.1-1394850
1.8188714616295523,3.247539270426077,1.0923320797754354e-7,0.9997362955869433,1,FALSE,Up,FALSE_Up,Origin,NW_026262581.1-1394860
1.8263193242965106,3.250149528427126,1.1083247014670897e-7,0.9997343721789628,1,FALSE,Up,FALSE_Up,Origin,NW_026262581.1-1394870
1.8263193242965106,3.250149528427126,1.1083247014670897e-7,0.9997343721789628,1,FALSE,Up,FALSE_Up,Origin,NW_026262581.1-1394883
